NO.	compound_name	IUPAC_name	SMILES	CID	logBB	BBB+/BBB-	Inchi	threshold	reference	group	comments
1	acetyl-d-carnitine	(3S)-3-acetyloxy-4-(trimethylazaniumyl)butanoate	CC(=O)O[C@@H](CC(=O)[O-])C[N+](C)(C)C	18230		BBB+	InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m0/s1		DrugBank	E	DrugBank
2	Melatonin	N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide	COc1ccc2[nH]cc(CCNC(C)=O)c2c1	896		BBB+	InChI=1S/C13H16N2O2/c1-9(16)14-6-5-10-8-15-13-4-3-11(17-2)7-12(10)13/h3-4,7-8,15H,5-6H2,1-2H3,(H,14,16)		DrugBank	E	DrugBank
3	N-Acetyl-L-leucine	(2S)-2-acetamido-4-methylpentanoic acid	CC(=O)N[C@@H](CC(C)C)C(=O)O	70912		BBB+	InChI=1S/C8H15NO3/c1-5(2)4-7(8(11)12)9-6(3)10/h5,7H,4H2,1-3H3,(H,9,10)(H,11,12)/t7-/m0/s1		DrugBank	E	DrugBank
4	amantadine	adamantan-1-amine	N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2	2130		BBB+	InChI=1S/C10H17N/c11-10-4-7-1-8(5-10)3-9(2-7)6-10/h7-9H,1-6,11H2/t7-,8+,9-,10-		DrugBank	E	DrugBank
5	Aramisulpride	4-amino-N-[[(2R)-1-ethylpyrrolidin-2-yl]methyl]-5-ethylsulfonyl-2-methoxybenzamide	CCN1CCC[C@@H]1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC	5746246		BBB+	InChI=1S/C17H27N3O4S/c1-4-20-8-6-7-12(20)11-19-17(21)13-9-16(25(22,23)5-2)14(18)10-15(13)24-3/h9-10,12H,4-8,11,18H2,1-3H3,(H,19,21)/t12-/m1/s1		DrugBank	E	DrugBank
6	SCHEMBL40777	(1S)-1-[(1R,2R,4R)-2-bicyclo[2.2.1]hept-5-enyl]-1-phenyl-3-piperidin-1-ylpropan-1-ol	O[C@](CCN1CCCCC1)(c1ccccc1)[C@@H]1C[C@@H]2C=C[C@H]1C2	12149109		BBB+	InChI=1S/C21H29NO/c23-21(19-7-3-1-4-8-19,11-14-22-12-5-2-6-13-22)20-16-17-9-10-18(20)15-17/h1,3-4,7-10,17-18,20,23H,2,5-6,11-16H2/t17-,18+,20-,21-/m1/s1		DrugBank	E	DrugBank
7	Levobupivacaine	(2S)-1-butyl-N-(2,6-dimethylphenyl)piperidine-2-carboxamide	CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C	92253		BBB+	InChI=1S/C18H28N2O/c1-4-5-12-20-13-7-6-11-16(20)18(21)19-17-14(2)9-8-10-15(17)3/h8-10,16H,4-7,11-13H2,1-3H3,(H,19,21)/t16-/m0/s1		DrugBank	E	DrugBank
8	107220-27-9	(2R,5S)-2-methylspiro[1,3-oxathiolane-5,3'-1-azabicyclo[2.2.2]octane]	C[C@@H]1O[C@]2(CS1)CN1CCC2CC1	11041760		BBB+	InChI=1S/C10H17NOS/c1-8-12-10(7-13-8)6-11-4-2-9(10)3-5-11/h8-9H,2-7H2,1H3/t8-,10+/m1/s1		DrugBank	E	DrugBank
9	chlordiazepoxide	7-chloro-4-hydroxy-N-methyl-5-phenyl-3H-1,4-benzodiazepin-2-imine	C/N=C1/CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1	2712		BBB+	InChI=1S/C16H14ClN3O/c1-18-15-10-20(21)16(11-5-3-2-4-6-11)13-9-12(17)7-8-14(13)19-15/h2-9,21H,10H2,1H3/b18-15-		DrugBank	E	DrugBank
10	Cloxazolam, (S)-	(11bS)-10-chloro-11b-(2-chlorophenyl)-2,3,5,7-tetrahydro-[1,3]oxazolo[3,2-d][1,4]benzodiazepin-6-one	O=C1CN2CCO[C@]2(c2ccccc2Cl)c2cc(Cl)ccc2N1	25271643		BBB+	InChI=1S/C17H14Cl2N2O2/c18-11-5-6-15-13(9-11)17(12-3-1-2-4-14(12)19)21(7-8-23-17)10-16(22)20-15/h1-6,9H,7-8,10H2,(H,20,22)/t17-/m1/s1		DrugBank	E	DrugBank
