NO.	compound_name	IUPAC_name	SMILES	CID	logBB	Inchi	reference	group	comments
1	moxalactam	7-[[2-carboxy-2-(4-hydroxyphenyl)acetyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-oxa-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)(NC(=O)C(C4=CC=C(C=C4)O)C(=O)O)OC)OC2)C(=O)O	3889.0|	-2.52	InChI=1S/C20H20N6O9S/c1-25-19(22-23-24-25)36-8-10-7-35-18-20(34-2,17(33)26(18)13(10)16(31)32)21-14(28)12(15(29)30)9-3-5-11(27)6-4-9/h3-6,12,18,27H,7-8H2,1-2H3,(H,21,28)(H,29,30)(H,31,32)	R25|	A	
2	schembl614298	(2s,3s,4s,5r)-6-[[(4r,4ar,7s,7ar,12bs)-7-hydroxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1h-4,12-methanobenzofuro[3,2-e]isoquinolin-9-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid	CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O)O[C@H]3[C@H](C=C4)O	18595497.0|	-2.15	InChI=1S/C23H27NO9/c1-24-7-6-23-10-3-4-12(25)20(23)32-18-13(5-2-9(14(18)23)8-11(10)24)31-22-17(28)15(26)16(27)19(33-22)21(29)30/h2-5,10-12,15-17,19-20,22,25-28H,6-8H2,1H3,(H,29,30)/t10-,11+,12-,15-,16-,17+,19-,20-,22?,23-/m0/s1	R25|	A	
3	morphine-6-glucuronide	(2s,3s,4s,5r)-6-[[(4r,4ar,7s,7ar,12bs)-9-hydroxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1h-4,12-methanobenzofuro[3,2-e]isoquinolin-7-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid	CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)OC6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O	9847115.0|	-2.09	InChI=1S/C23H27NO9/c1-24-7-6-23-10-3-5-13(31-22-17(28)15(26)16(27)19(33-22)21(29)30)20(23)32-18-12(25)4-2-9(14(18)23)8-11(10)24/h2-5,10-11,13,15-17,19-20,22,25-28H,6-8H2,1H3,(H,29,30)/t10-,11+,13-,15-,16-,17+,19-,20-,22?,23-/m0/s1	R25|	A	
4	2-[4-(5-bromo-3-methylpyridin-2-yl)butylamino]-5-[(6-methylpyridin-3-yl)methyl]-1,3-diazinan-4-one	2-[4-(5-bromo-3-methylpyridin-2-yl)butylamino]-5-[(6-methylpyridin-3-yl)methyl]-1,3-diazinan-4-one	CC1=NC=C(C=C1)CC2CNC(NC2=O)NCCCCC3=NC=C(C=C3C)Br	74041479.0|	-1.88	InChI=1S/C21H28BrN5O/c1-14-9-18(22)13-25-19(14)5-3-4-8-23-21-26-12-17(20(28)27-21)10-16-7-6-15(2)24-11-16/h6-7,9,11,13,17,21,23,26H,3-5,8,10,12H2,1-2H3,(H,27,28)	R35|	A	
5			c1(c2c3n(c4c(C(N(C)C3)=O)c(Cl)ccc4)cn2)noc(C(O)(O)C)n1	nan|	-1.82	InChI=1S/C16H14ClN5O4/c1-16(24,25)15-19-13(20-26-15)12-10-6-21(2)14(23)11-8(17)4-3-5-9(11)22(10)7-18-12/h3-5,7,24-25H,6H2,1-2H3	R35|	A	
6			CN1CC2=C(N=CN2C2=CC=CC(Cl)=C2C1=O)C1=NOC(=N1)[C@](C)(O)CO	nan|	-1.82	InChI=1S/C17H16ClN5O4/c1-17(26,7-24)16-20-14(21-27-16)13-11-6-22(2)15(25)12-9(18)4-3-5-10(12)23(11)8-19-13/h3-5,8,24,26H,6-7H2,1-2H3/t17-/m1/s1	R48|	A	
7	sucrose	(2r,3r,4s,5s,6r)-2-[(2s,3s,4s,5r)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O	5988.0|	-1.7	InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1	R47|	A	
8	schembl18285121	n-[(z)-(2-hydroxy-3-prop-2-enylphenyl)methylideneamino]-2-[4-[(4-sulfamoylphenyl)methyl]piperazin-1-yl]acetamide	C=CCC1=C(C(=CC=C1)/C=N\NC(=O)CN2CCN(CC2)CC3=CC=C(C=C3)S(=O)(=O)N)O	135905414.0|	-1.67	InChI=1S/C23H29N5O4S/c1-2-4-19-5-3-6-20(23(19)30)15-25-26-22(29)17-28-13-11-27(12-14-28)16-18-7-9-21(10-8-18)33(24,31)32/h2-3,5-10,15,30H,1,4,11-14,16-17H2,(H,26,29)(H2,24,31,32)/b25-15-	R47|	A	
9	y22	6-(trifluoromethyl)-3-[[4-(trifluoromethyl)phenyl]methylamino]quinoxaline-2-carboxylic acid	C1=CC(=CC=C1CNC2=NC3=C(C=CC(=C3)C(F)(F)F)N=C2C(=O)O)C(F)(F)F	86287487.0|	-1.57	InChI=1S/C18H11F6N3O2/c19-17(20,21)10-3-1-9(2-4-10)8-25-15-14(16(28)29)26-12-6-5-11(18(22,23)24)7-13(12)27-15/h1-7H,8H2,(H,25,27)(H,28,29)	R11|	A	
10	l4	disodium;[6-[5-acetamido-4,6-dihydroxy-2-(sulfonatooxymethyl)oxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl sulfate	CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)[O-])OC2C(C(C(C(O2)COS(=O)(=O)[O-])O)O)O)O.[Na+].[Na+]	75212846.0|	-1.54	InChI=1S/C14H25NO17S2/c1-4(16)15-7-9(18)12(6(30-13(7)21)3-29-34(25,26)27)32-14-11(20)10(19)8(17)5(31-14)2-28-33(22,23)24/h5-14,17-21H,2-3H2,1H3,(H,15,16)(H,22,23,24)(H,25,26,27)	R11|	A	
